tg_id,pack_name,created_flag,front_word,back_word,date_of_repeat,repeat_length
875771161,Appendix 1,False,recover from ,выздоравливать,2025-02-23,8.125
875771161,Appendix 1,False,resign from ,уволиться с,2025-02-16,1.0
875771161,New words,True,,,0,0.0
875771161,New words,False,Customer,Покупатель,2024-11-28,4.75
875771161,New words,False,Dispute,Спор,2024-11-28,4.75
875771161,New words,False,competition,Конкуренция,2024-11-28,4.75
875771161,New words,False,Even,Даже,2024-11-28,4.75
875771161,New words,False,preference,Предпочтение,2024-11-28,4.75
875771161,New words,False,exchange,Обмениваться,2024-11-28,4.75
875771161,New words,False,Salary,Зарплата(фикс),2024-11-28,4.75
875771161,New words,False,Wage,Зарплата(за час/...),2024-11-28,4.75
875771161,New words,False,Queue,Очередь,2024-11-25,1.0
875771161,New words,False,Except,Кроме,2024-11-28,4.75
875771161,New words,False,Plane,Плоскость,2024-11-28,4.75
875771161,New words,False,Cramped,Тесно,2024-11-28,4.75
875771161,New words,False,Consequences,Последствия,2024-11-28,4.75
875771161,New words,False,Audience,Аудитория,2024-11-28,4.75
875771161,New words,False,Suit,костюм,2024-11-28,4.75
875771161,New words,False,Holiday,Праздник,2024-11-28,4.75
875771161,New words,False,Multiplication,умножение,2024-11-28,4.75
875771161,New words,False,Afraid,Испуганный,2024-11-28,4.75
875771161,New words,False,Below,Ниже,2024-11-28,4.75
875771161,New words,False,Possibility,Возможность,2024-11-28,4.75
875771161,New words,False,Anymore,Больше,2024-11-28,4.75
875771161,New words,False,Increase,Увеличение,2024-11-28,4.75
875771161,New words,False,necessary,Необходимый,2024-11-28,4.75
875771161,New words,False,Available,Доступный,2024-11-28,4.75
875771161,New words,False,In front of,перед,2024-11-28,4.75
875771161,New words,False,Instead of,вместо,2024-11-28,4.75
875771161,New words,False,Behavior,Поступки/поведение,2024-11-28,4.75
875771161,New words,False,Contemporary,Современный,2024-11-28,4.75
875771161,New words,False,Taste,Вкус,2024-11-28,4.75
875771161,New words,False,Overcoming,Преодоление,2024-11-28,4.75
875771161,New words,False,Crime,Преступление,2024-11-28,4.75
875771161,New words,False,Cancer,рак,2024-11-28,4.75
875771161,New words,False,Already,Уже,2024-11-28,4.75
875771161,New words,False,Yet,Еще,2024-11-28,4.75
875771161,New words,False,then,Потом,2024-11-28,4.75
875771161,New words,False,than,Чем,2024-11-28,4.75
875771161,New words,False,Thus,Таким образом,2024-11-28,4.75
875771161,New words,False,Treatment,Лечение,2024-11-28,4.75
875771161,New words,False,Issue,Проблема,2024-11-28,4.75
875771161,New words,False,Unfortunately,К сожалению,2024-11-28,4.75
875771161,New words,False,Secondary,Второстепенный,2024-11-28,4.75
875771161,New words,False,Advise(advice),Советовать(совет),2024-11-28,4.75
875771161,New words,False,Whole,Целый/весь,2024-11-28,4.75
875771161,New words,False,Mention,Упоминание,2024-11-28,4.75
875771161,New words,False,Severe,Серьёзный,2024-11-28,4.75
875771161,New words,False,Postpone,Откладывать,2024-11-28,4.75
